page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link
Zen Gaming,male,0,Philippines,140,Facebook,Valorant,unavailable,unavailable,3/25/2021,https://www.facebook.com/Zen.valorant/?ref=page_internal
Martinie,female,0,Philippines,633,Facebook,Valorant,Monster Hunter,unavailable,3/31/2021,https://www.facebook.com/watch/martinieLIVE/
JattisLive,male,0,Philippines,52,Facebook,Valorant,APEX Legends,Call Of Duty: Warzone,10/16/2020,https://www.facebook.com/watch/jatt1slive/
Ulfa,male,0,Philippines,1100,Facebook,Valorant,Phasmophobia,Minecraft,11/30/2019,https://www.facebook.com/officialUlfa
fusetv,male,0,Philippines,243,Facebook,Valorant,Outlast II,CS:GO,02/07/2021,https://www.facebook.com/watch/fusetv.gg/
Pizzaza,male,0,Philippines,321,Facebook,Valorant,DOTA,OSU!,12/31/2020,https://www.facebook.com/watch/PizzazaPlays/
Mehuehue,male,0,Philippines,191,Facebook,Valorant,unavailable,unavailable,1/19/2021,https://www.facebook.com/watch/Mehuehue/
SeannieeeV,male,0,Philippines,682,Facebook,Valorant,Fortnite,Call Of Duty: Warzone,7/16/2020,https://www.facebook.com/watch/SeannieeeV/
Mr cheng Gaming,male,0,Philippines,1082,Facebook,DOTA 2,Genshin Impact,Terraria,1/22/2020,https://www.facebook.com/gaming/Mr-cheng-Gaming-110014043876480
Chikito,male,0,Philippines,955,Facebook,DOTA 2,NBA 2K21,unavailable,06/07/2020,https://www.facebook.com/gaming/Chikito-100871194985162
DonP,male,0,Philippines,18530,Facebook,Valorant,Gran Theft Auto V,Mobile Legends,10/01/2020,https://www.facebook.com/gaming/DonP.Cholo
Rainycorn Stampede,male,0,Philippines,1165,Facebook,Valorant,Legue of Legends: Wild Rift,Tom Clancy's Rainbow Six Seige,01/12/2020,https://www.facebook.com/gaming/Rainycorn1228
Jolidofc,male,0,Philippines,31251,Facebook,Valorant,Call Of Duty: Warzone,Roblox,06/04/2020,https://www.facebook.com/gaming/Jolidofc
Gkbaby,male,0,Philippines,5307,Facebook,Valorant,DOTA 2,APEX Legends,02/05/2019,https://www.facebook.com/gaming/Gkgaming09
Niño Cosme,male,0,Philippines,69,Facebook,Valorant,DOTA 2,Devil May Cry 5,2/16/2021,https://www.facebook.com/gaming/whatsupnins
Banorant Gaming,female,0,Philippines,215,Facebook,Valorant,unavailable,unavailable,4/30/2021,https://www.facebook.com/gaming/banorantgamers
Jase,male,0,Philippines,290,Facebook,Valorant,unavailable,unavailable,3/22/2021,https://www.facebook.com/gaming/Duavyy
REKT,male,0,Philippines,141,Facebook,Valorant,unavailable,unavailable,4/14/2021,https://www.facebook.com/gaming/rektyarn
K U E G E R,male,0,Philippines,14,Facebook,Valorant,unavailable,unavailable,2/28/2021,https://www.facebook.com/gaming/K-U-E-G-E-R-109912697592640/
Denz Gaming,male,0,Philippines,216,Facebook,Valorant,Control,Legue of Legends,8/22/2021,https://www.facebook.com/gaming/Dfrondz3/
GoodyGoods,male,0,Philippines,908,Facebook,Valorant,DOTA 2,Phasmophobia,01/08/2019,https://www.facebook.com/gaming/GoodyGoodsGaming/
Jessievash,male,0,Philippines,22114,Facebook,Valorant,Roblox,DOTA 2,4/18/2014,https://www.facebook.com/JessieVashCuyco/
Mutya,female,0,Philippines,154731,Facebook,Valorant,PUBG ,unavailable,6/27/2019,https://www.facebook.com/mutyaFPS/?ref=page_internal
Narpim,male,0,Philippines,71031,Facebook,Valorant,PUBG ,Warzone,3/26/2019,https://www.facebook.com/NarpimTV/?ref=page_internal
2Staxx,male,0,Philippines,262000,Facebook,League of Legends,Valorant,Wildrift,02/10/2017,https://www.facebook.com/2Staxx
Maggiekarp,female,0,Philippines,180132,Facebook,Valorant,League of Legends,Apex,1/17/2019,https://www.facebook.com/Magukarp/?ref=page_internal
Anne B. Mateo,female,28,Philippines,5400000,Facebook,Warzone,Valorant,PUBG,4/26/2017,https://www.facebook.com/annbmateo
ABATMAN,male,0,Philippines,33144,Facebook,Valorant,Warzone,unavailable,5/13/2020,https://www.facebook.com/ABATMANfps
Supermj,male,19,Philippines,17707,Facebook,Valorant,CS:GO,League of Legends,05/03/2020,https://www.facebook.com/SuperMJfps
Een Mercado,female,0,Philippines,414059,Facebook,Valorant,Mobile Legends,League of Legends,7/22/2016,https://www.facebook.com/eenmercado
Apupeng Gaming,female,21,Philippines,79,Facebook,Valorant,unavailable,unavailable,9/30/2020,https://www.facebook.com/apupenggaming/?ref=page_internal
Alodia Gosiengfiao,female,33,Philippines,7491615,Facebook,Valorant,Warzone,League of Legends,3/14/2018,https://www.facebook.com/AlodiaGosiengfiao/?ref=page_internal
Biancake,female,23,Philippines,2445467,Facebook,DOTA 2,League of Legends,Wildrift,4/23/2017,https://www.facebook.com/BiancakeGaming/?ref=page_internal
Renejay,male,17,Philippines,3600000,Facebook,Mobile Legends,unavailable,unavailable,7/30/2019,https://www.facebook.com/Renejayofficial
Yawi Esports,male,0,Philippines,2000000,Facebook,Mobile Legends,unavailable,unavailable,4/14/2020,https://www.facebook.com/yawiesports
H2WO,male,20,Philippines,2542181,Facebook,Mobile Legends,unavailable,unavailable,08/12/2019,https://www.facebook.com/H2woOfficial
GHOST Wrecker,male,0,Philippines,4792591,Facebook,Mobile Legends,Rules of Survival,unavailable,08/10/2018,https://www.facebook.com/ghostwrecker28
Nanay Gaming,female,46,Philippines,776000,Facebook,Mobile Legends,unavailable,unavailable,06/07/2020,https://www.facebook.com/nanaygamingtv
Ghost Diablo,male,20,Philippines,53017,Facebook,Valorant,Rules of Surivival,unavailable,8/26/2019,https://www.facebook.com/Gdiablogaming
ChooxTv,male,30,Philippines,9900000,Facebook,Mobile Legends,unavailable,unavailable,8/19/2017,https://www.facebook.com/CHoOxTV
Kafi,female,0,Philippines,7727,Facebook,Valorant,It Takes Two,unavailable,01/07/2021,https://www.facebook.com/heyitskafi
Shirkeybars,female,0,Philippines,43041,Facebook,Valorant,Mobile Legends,unavailable,6/20/2020,https://www.facebook.com/watch/shirkeybars/
Basic Gaming,male,0,Philippines,646924,Facebook,Mobile Legends,Valorant,unavailable,01/02/2020,https://www.facebook.com/OfficialBasic/
