page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link,year_started
Ywuria,female,-1,Philippines,2400,Facebook,Minecraft,Phasmophobia,Among Us,2020-09-22,https://www.facebook.com/Ywuria/videos/?ref=page_internal,2020
Tonkatzoe,female,-1,Philippines,5537,Facebook,Valorant,PUBG Mobile,Little Nightmares,2020-11-02,https://www.facebook.com/TnktZoe,2020
Anneru Nekogami Ch.,female,-1,Philippines,1939,Facebook,Valorant,Genshin Impact,Phasmophobia,2020-08-18,https://www.facebook.com/annerunekogami/,2020
Ebisu Inari,female,-1,Philippines,1159,Facebook,Genshin Impact,Stardew Valley,Giraffe and Annika,2020-06-14,https://www.facebook.com/EbisuInariPH/,2020
イズミch.,male,-1,Philippines,594,Facebook,Among Us,Toram Online,Five Nights at Freddy's 2,2020-05-04,https://www.facebook.com/IzumiChanneru,2020
Pao-san,male,-1,Philippines,688,Facebook,League of Legends,Among Us,Night in the Woods,2020-12-03,https://www.facebook.com/Paosan23,2020
Ulo mo Lumpia,male,-1,Philippines,762,Facebook,Valorant,League of Legends,Devil May Cry 5,2019-10-12,https://www.facebook.com/LumpiaEmpire,2019
Coral • Greenkimochii,female,-1,Philippines,10592,Facebook,The Legend of Heroes: Trails of Cold Steel,PUBG Mobile,Euro Truck Simulator,2015-08-22,https://www.facebook.com/greenkimochii/,2015
Rion_Akahoshi,female,-1,Philippines,409,Twitch,Raft,Left 4 Dead 2,VRChat,2020-10-10,https://www.twitch.tv/rion_akahoshi,2020
shiori_p0n,female,-1,Philippines,1900,Twitch,Minecraft,Valorant,The Legend of Zelda: Breath of the Wild,2020-09-24,https://www.twitch.tv/shiori_p0n,2020
Angelo Vtuber,male,-1,Philippines,894,Facebook,Five Nights at Freddy's 2,none,none,2020-12-24,https://www.facebook.com/angelovtuber/,2020
Chescakees Channel,female,-1,Philippines,1062,Facebook,Call of Duty: Mobile,Skribbl.io,League of Legends: Wild Rift,2020-12-04,https://www.facebook.com/chescakees/,2020
Chicharon Gaming,female,-1,Philippines,2070,Facebook,Call of Duty: Mobile,Mobile Legends,Fall Guys,2020-07-31,https://www.facebook.com/ChicharongBulaklakATBP,2020
Heimdalrr,male,-1,Philippines,773,Facebook,Valorant,League of Legends,none,2020-05-27,https://www.facebook.com/Heimdalrr/,2020
Dotix Gaming,male,-1,Philippines,649,Facebook,Valorant,Among Us,Mobile Legends,2020-06-16,https://www.facebook.com/DotixGaming/,2020
L A Z Y,male,-1,Philippines,577,Facebook,Mobile Legends,none,none,2019-07-27,https://www.facebook.com/LazyGaminGG/,2019
Chiho,female,-1,Philippines,703,Facebook,Valorant,none,none,2020-09-14,https://www.facebook.com/chichioo0/,2020
SUPER ANGRY LOR,male,-1,Philippines,302,Facebook,Valorant,DOTA 2,Among Us,2020-07-06,https://www.facebook.com/SuperAngryLor,2020
ZsigmonyO,male,-1,Philippines,1371,Facebook,Mobile Legends,PUBG Mobile,none,2020-06-05,https://www.facebook.com/ZsigmonyO/,2020
Konnichiwa Gaming,male,-1,Philippines,483,Facebook,Valorant,Fall Guys,DOTA 2,2020-09-30,https://www.facebook.com/KonnichiwaGaming,2020
Larong Tito,male,-1,Philippines,164,Facebook,Mobile Legends,none,none,2020-06-13,https://www.facebook.com/Larong-Tito-107434337678236,2020
FLTCasul,male,-1,unavailable,45,Facebook,Nioh 2,Sekiro,none,2021-02-09,https://www.facebook.com/FLTCasul,2021
XIV,male,-1,Philippines,446,Facebook,Valorant,Among Us,Ragnarok Online,2020-01-23,https://www.facebook.com/XIVGamingPH,2020
RanbooLive,male,-1,United States of America,2804352,Twitch,Minecraft,Slime Rancher,Little Nightmares,2020-09-12,https://www.twitch.tv/ranboolive,2020
